name,minplayers,maxplayers,minplaytime,maxplaytime,yearpublished,rating,borroweddate,returndate
Unlock!: Extraordinary Adventures,1,6,90,60,2022,0,,
Unlock!: Game Adventures,1,6,60,30,2021,0,,
Unlock!: Heroic Adventures,1,6,60,60,2018,0,,
Unlock!: Legendary Adventures,1,6,60,60,2021,0,,
Unlock!: Secret Adventures,1,6,60,60,2017,0,,
UNO Stacko,2,10,20,20,1994,0,,
Unusual Suspects,3,16,20,20,2015,0,,
The Vale of Eternity,2,4,45,30,2023,0,,
Vault Wars,3,5,60,45,2015,0,,
Il Vecchio,2,4,60,60,2012,0,,
Via Nebula,2,4,60,45,2016,0,,
Viceroy,1,4,60,45,2014,0,,
Village Pillage,2,5,20,20,2019,0,,
Vindication,2,5,150,45,2018,0,,
Viticulture,2,6,90,90,2013,0,,
VivaJava: The Coffee Game: The Dice Game,1,4,40,20,2014,0,,
The Voyages of Marco Polo,2,4,100,40,2015,0,,
Warsaw: City of Ruins,2,4,60,60,2016,0,,
Wasteland Express Delivery Service,2,5,120,90,2017,0,,
Welcome to the Dungeon,2,4,30,30,2013,0,,
Werewords,4,10,10,10,2017,0,,
Wheel of Fortune,2,4,60,60,1975,0,,
Whitehall Mystery,2,4,60,45,2017,0,,
Wild Space,1,5,40,15,2020,0,,
Wingspan,1,5,70,40,2019,0,,
WINK,3,8,20,20,1994,0,,
Wits & Wagers,3,7,25,25,2005,0,,
Wok and Roll,1,5,45,30,2020,0,,
Word Slam,3,99,45,45,2016,0,,
Word Slam,3,99,45,45,2016,0,,
World of Yo-Ho,2,4,90,45,2016,0,,
World Wonders,1,5,70,50,2023,0,,
World's Fair 1893,2,4,45,35,2016,0,,
Wreck Raiders,1,5,45,45,2019,0,,
Wreckage,2,4,45,45,2003,0,,
XenoShyft: Onslaught,1,4,60,30,2015,0,,
Yamatai,2,4,80,40,2017,0,,
Yardmaster,2,5,20,20,2014,0,,
Yedo,2,5,180,120,2012,0,,
You Robot,4,10,20,20,2009,0,,
Zendo,2,6,60,15,2001,0,,2026-02-03
Zeus on the Loose,2,5,15,15,2006,0,,
Zombie Fluxx,2,6,40,10,2007,0,,
Zooloretto,2,5,45,45,2007,0,,
